dataset_id,d,n,valid_frac,median_R_H,median_dS,median_df_ratio,m_d,fail_reliability
physics_vit_base,6,512,1.0,0.5157246446498049,0.0035887929971825847,0.0205078125,21,False
physics_vit_base,7,512,1.0,0.5156920386211349,0.003884932030662943,0.02734375,28,False
physics_vit_base,8,512,1.0,0.5249911306748358,0.004084798260964817,0.03515625,36,False
physics_vit_base,9,512,1.0,0.5122163515943452,0.004276706763812399,0.0439453125,45,False
physics_vit_base,10,512,1.0,0.5276850998498144,0.004453260994523589,0.0537109375,55,False
physics_vit_base,11,512,1.0,0.5213222979810785,0.00455301781144044,0.064453125,66,False
physics_vit_base,12,512,1.0,0.5264760741959892,0.004641362080201361,0.076171875,78,False
physics_vit_base,13,512,1.0,0.5358096958690266,0.004673105462825333,0.0888671875,91,False
physics_vit_base,14,512,1.0,0.5286536068791441,0.004726898298804372,0.1025390625,105,False
physics_vit_base,15,512,1.0,0.5271277276999978,0.004694744267635543,0.1171875,120,False
physics_vit_base,16,512,1.0,0.5140178048328532,0.004643543944484917,0.1328125,136,False
physics_vit_base,17,512,1.0,0.5143718269929936,0.0045467008094419725,0.1494140625,153,False
physics_vit_base,18,512,1.0,0.5094080609850065,0.004467049549157309,0.1669921875,171,False
physics_vit_base,19,512,1.0,0.5145532265039472,0.004410371031826798,0.185546875,190,False
physics_vit_base,20,512,1.0,0.5155509716501046,0.004367288155958705,0.205078125,210,False
physics_vit_base,21,512,1.0,0.5143797619804373,0.004240529654983523,0.2255859375,231,False
physics_vit_base,22,512,1.0,0.5139056173204031,0.004147209729277771,0.2470703125,253,False
physics_vit_base,23,512,1.0,0.5148168256578034,0.004086146411585409,0.26953125,276,False
physics_vit_base,24,512,1.0,0.5097807936922768,0.0039848733965754946,0.29296875,300,False
physics_vit_base,25,512,1.0,0.5073449508844395,0.003880329966856759,0.3173828125,325,False
physics_vit_base,26,512,1.0,0.5033931103437779,0.0038146632975895045,0.3427734375,351,False
physics_vit_base,27,512,1.0,0.49597923256669707,0.0037224880429675977,0.369140625,378,False
physics_vit_base,28,512,1.0,0.48690181545764244,0.0036084362366182177,0.396484375,406,False
physics_vit_base,29,512,1.0,0.4794397634975195,0.0035226804412028896,0.4248046875,435,False
physics_vit_base,30,512,1.0,0.4736020115743098,0.003452546229179158,0.4541015625,465,False
physics_vit_base,31,512,1.0,0.4697720722425091,0.003385866303574403,0.484375,496,False
physics_vit_base,32,512,1.0,0.4644611115410671,0.0032901027045681985,0.515625,528,False
physics_vit_base,33,512,1.0,0.45660889186140113,0.003203057585778879,0.5478515625,561,False
physics_vit_base,34,512,1.0,0.4523712264215344,0.0031029581176653664,0.5810546875,595,False
physics_vit_base,35,512,1.0,0.443780296262821,0.0030450396293796684,0.615234375,630,False
physics_vit_base,36,512,1.0,0.43949849593059254,0.002963931651531008,0.650390625,666,False
physics_vit_base,37,512,1.0,0.4335168339647235,0.002868824205393139,0.6865234375,703,False
physics_vit_base,38,512,1.0,0.42431455774991844,0.002798542836596122,0.7236328125,741,False
physics_vit_base,39,512,1.0,0.4181060516738235,0.0027146717176265156,0.76171875,780,False
physics_vit_base,40,512,1.0,0.4132479478892014,0.0026424465823235246,0.80078125,820,False
physics_vit_base,41,512,1.0,0.40354581174497917,0.00259458082666697,0.8408203125,861,False
physics_vit_base,42,512,1.0,0.40033725478872884,0.002511246540924124,0.8818359375,903,False
physics_vit_base,43,512,1.0,0.3964807568486408,0.002456425721902633,0.923828125,946,False
physics_vit_base,44,512,1.0,0.3891850100825742,0.0023819781757386713,0.966796875,990,False
